timestamp,age_group,country,tenure,purchase_frequency,amount,purchase_type,player_style,guild_size,leader_ingame,leader_rl,spending_group,leader_status,overall_leadership,spender_class
11/10/2024 15:48:08,20 to 34,Bulgaria,Less than 3 months,A few times per year,Up to 100,Reach higher event leagues and get more Grand Prizes,Active but non-competitive,21 to 40 players,Never,No,Moderate spenders,No leader,Non leader,Moderate spenders
11/10/2024 15:48:16,50 to 64,Other,More than 4 years,A few times per year,Up to 100,Reach higher event leagues and get more Grand Prizes,Active but non-competitive,More than 60,I currently lead one,Yes,Moderate spenders,Leader,Real life and in game,Moderate spenders
11/10/2024 15:48:47,50 to 64,Canada,More than 4 years,Never,0 (Do not spend),Do not spend,Competitive,More than 60,I currently lead one,Yes,No spenders,Leader,Real life and in game,No spenders
11/10/2024 15:59:59,50 to 64,United Kingdom,More than 4 years,Never,0 (Do not spend),Do not spend,Active but non-competitive,More than 60,I currently lead one,Yes,No spenders,Leader,Real life and in game,No spenders
11/10/2024 16:00:47,50 to 64,Hungary,Between 3 months and a year,A few times per year,Up to 20,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",Competitive,Up to 20 players,Never,No,Lower spenders,No leader,Non leader,Lower spenders
11/10/2024 16:02:17,50 to 64,United Kingdom,Between 2 and 4 years,A few times per year,Up to 50,Reach higher event leagues and get more Grand Prizes,Active but non-competitive,21 to 40 players,"Yes, for a while",Yes,Lower spenders,No leader,Real life,Lower spenders
11/10/2024 16:04:15,50 to 64,United Kingdom,Between 3 months and a year,A few times per year,Up to 50,Progress faster in the eras or get extra content first,Competitive,21 to 40 players,Never,Yes,Lower spenders,No leader,Real life,Lower spenders
11/10/2024 16:09:06,50 to 64,United Kingdom,Between 2 and 4 years,Only once,Up to 20,Reach higher event leagues and get more Grand Prizes,Active but non-competitive,21 to 40 players,I currently lead one,Yes,Lower spenders,Leader,Real life and in game,Lower spenders
11/10/2024 16:24:59,20 to 34,United Kingdom,More than 4 years,Every month,More than 1000,Reach higher event leagues and get more Grand Prizes,Competitive,More than 60,Never,No,Higher spenders,No leader,Non leader,Higher spenders
11/10/2024 17:03:41,50 to 64,United Kingdom,Between 3 months and a year,A few times per year,Up to 50,Progress faster in the eras or get extra content first,Competitive,Up to 20 players,Never,Yes,Lower spenders,No leader,Real life,Lower spenders
11/10/2024 17:06:23,50 to 64,Australia,More than 4 years,A few times per year,Up to 20,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",Competitive,Up to 20 players,Never,No,Lower spenders,No leader,Non leader,Lower spenders
11/10/2024 17:07:08,35 to 49,United Kingdom,More than 4 years,A few times per year,Up to 20,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",Competitive,More than 60,Never,No,Lower spenders,No leader,Non leader,Lower spenders
11/10/2024 17:18:34,35 to 49,Latvia,Between 3 months and a year,Never,0 (Do not spend),Do not spend,Competitive,Up to 20 players,Never,Yes,No spenders,No leader,Real life,No spenders
11/10/2024 17:20:17,50 to 64,United Kingdom,More than 4 years,Never,0 (Do not spend),Do not spend,For fun/ casual,Up to 20 players,I currently lead one,Yes,No spenders,Leader,Real life and in game,No spenders
11/10/2024 17:22:02,50 to 64,United Kingdom,More than 4 years,A few times per year,Up to 300,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",For fun/ casual,21 to 40 players,"Yes, for a while",Yes,Moderate spenders,No leader,Real life,Moderate spenders
11/10/2024 17:23:40,35 to 49,Belgium,Between 2 and 4 years,A few times per year,Up to 50,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",Competitive,41 to 60 players,I currently lead one,Yes,Lower spenders,Leader,Real life and in game,Lower spenders
11/10/2024 17:28:45,35 to 49,United Kingdom,More than 4 years,A few times per year,Up to 20,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",Competitive,More than 60,Never,No,Lower spenders,No leader,Non leader,Lower spenders
11/10/2024 18:04:57,More than 64,United Kingdom,More than 4 years,Never,0 (Do not spend),Do not spend,For fun/ casual,More than 60,"Yes, for a while",Yes,No spenders,No leader,Real life,No spenders
11/10/2024 18:09:56,35 to 49,United Kingdom,Between 2 and 4 years,A few times per year,Up to 20,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",For fun/ casual,21 to 40 players,"Yes, for a while",No,Lower spenders,No leader,Non leader,Lower spenders
11/10/2024 19:17:28,20 to 34,Montenegro,Between 2 and 4 years,Only once,Up to 20,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",Active but non-competitive,21 to 40 players,"Yes, for a while",No,Lower spenders,No leader,Non leader,Lower spenders
11/10/2024 19:23:14,35 to 49,Hungary,More than 4 years,Only once,Up to 20,Reach higher event leagues and get more Grand Prizes,Competitive,Up to 20 players,"Yes, for a while",Yes,Lower spenders,No leader,Real life,Lower spenders
11/10/2024 19:40:35,35 to 49,Romania,Between 3 months and a year,A few times per year,Up to 100,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",For fun/ casual,41 to 60 players,Never,Yes,Moderate spenders,No leader,Real life,Moderate spenders
11/10/2024 19:42:08,50 to 64,Netherlands,Between 2 and 4 years,A few times per year,Up to 100,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",Competitive,Up to 20 players,I currently lead one,Yes,Moderate spenders,Leader,Real life and in game,Moderate spenders
